"ID","Timestamp","Consent","Age_18_Plus","Q1_Music_Listen","Q2_Freq_Complex","Q2_Freq_Simple","Q3_Text_Categories","Q4_Complex_Type","Q4_Simple_Type","Q4_Other_Type","Q5_Other_Music_Type","Q5_Text_Categories","Q6_Complex_Reason","Q6_Simple_Reason","Q7_Other_Reasons","Q7_Text_Categories","Q8_Complex_Avoidance","Q8_Simple_Avoidance","Q9_Other_Avoidance_Reasons","Q9_Text_Categories","Q10_Complex_Effect","Q10_Simple_Effect","Q11_Other_Effects","Q11_Text_Categories","Q12_Talkative","Q13_Reserved","Q14_Energetic","Q15_Enthusiastic","Q16_Quiet","Q17_Assertive","Q18_Shy","Q19_Sociable","Age","Gender","Q6_Other_Reason","Extraversion_Score","Personality_Type","Age_Bracket","Q4_Complex_Type_Vocal","Q4_Complex_Type_Instrumental","Q4_Complex_Type_Upbeat","Q4_Complex_Type_Calming","Q4_Complex_Type_Not_Applicable","Q4_Complex_Type_Other","Q4_Simple_Type_Vocal","Q4_Simple_Type_Instrumental","Q4_Simple_Type_Upbeat","Q4_Simple_Type_Calming","Q4_Simple_Type_Not_Applicable","Q4_Simple_Type_Other","Q4_Other_Type_Vocal","Q4_Other_Type_Instrumental","Q4_Other_Type_Upbeat","Q4_Other_Type_Calming","Q4_Other_Type_Not_Applicable","Q4_Other_Type_Other","Q6_Complex_Reason_Noise","Q6_Complex_Reason_Concentrate","Q6_Complex_Reason_Mood","Q6_Complex_Reason_Not_Applicable","Q6_Simple_Reason_Noise","Q6_Simple_Reason_Concentrate","Q6_Simple_Reason_Mood","Q6_Simple_Reason_Not_Applicable","Q8_Complex_Distracts","Q8_Complex_Anxious","Q8_Complex_No_Avoid","Q8_Simple_Distracts","Q8_Simple_Anxious","Q8_Simple_No_Avoid","Q10_Complex_Alert","Q10_Complex_Tired","Q10_Complex_Neutral","Q10_Simple_Alert","Q10_Simple_Tired","Q10_Simple_Neutral","Vocal_Complex","Vocal_Simple","Upbeat_Complex","Upbeat_Simple","NonVocal_Calming_Complex","Ranks"
1,"28/10/2024 17:50:50","I agree to participate",NA,1,2,4,"Exercise & Physical Activity","Instrumental","Upbeat","Instrumental, Upbeat, Other","techno","Electronic/Techno/EDM","To mask other background noise, To help me concentrate on task","To set me into the right mood","to energize me, to escape me","Motivation, Focus & Productivity","Music distracts me from the task","I do not avoid","na",NA,"It has neutral effect","It makes me tired","na",NA,2,2,1,1,1,3,2,3,28,"Female",NA,1.875,"Introvert",5,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,22
2,"28/10/2024 19:02:00","I agree to participate",NA,1,4,3,"NA","Upbeat, Calming","Vocal, Instrumental, Upbeat, Calming","Not applicable",NA,"NA","To mask other background noise, To help me concentrate on task, To set me into the right mood","To set me into the right mood",NA,NA,"I do not avoid","I do not avoid",NA,NA,"It keeps me stay alerted on task","It makes me tired","na",NA,3,2,4,4,2,4,2,4,30,"Male",NA,3.125,"Extrovert",5,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,1,1,1,94.5
3,"28/10/2024 19:23:47","I agree to participate",NA,1,4,4,"Commute & Traveling","Vocal","Vocal","Vocal","I listen to the same music as when I'm listening to music as a primary activity (usually metal)","Metal & Related Genres","To mask other background noise","To mask other background noise, To set me into the right mood",NA,NA,"I do not avoid","I do not avoid",NA,NA,"It has neutral effect","It has neutral effect",NA,NA,3,2,2,2,2,3,2,2,26,"Non-binary",NA,2.25,"Introvert",5,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,1,0,0,0,94.5
4,"28/10/2024 19:25:32","I agree to participate",NA,1,4,4,"Hobbies & Creative Tasks","Instrumental, Upbeat, Calming","Vocal, Instrumental, Upbeat, Calming","Vocal, Instrumental, Upbeat, Calming","n/a","NA","To mask other background noise, To help me concentrate on task","To help me concentrate on task, To set me into the right mood","n/a",NA,"Music distracts me from the task","I do not avoid","I won't listen to songs w vocals if I have to focus or count","Distraction (Lyrics/Vocals)","It keeps me stay alerted on task","It keeps me stay alerted on task",NA,NA,3,2,3,5,4,1,2,2,28,"Male",NA,2.75,"Extrovert",5,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,1,1,2,94.5
5,"28/10/2024 19:33:59","I agree to participate",NA,1,5,5,"NA","Instrumental, Upbeat, Calming","Vocal, Instrumental, Upbeat, Other","Vocal, Instrumental, Upbeat, Calming",NA,"NA","To mask other background noise","To set me into the right mood",NA,NA,"I do not avoid","I do not avoid",NA,NA,"It makes me tired","It has neutral effect",NA,NA,3,2,3,3,1,3,1,2,24,"Female",NA,2.25,"Introvert",6,0,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,1,1,2,143
6,"28/10/2024 19:36:10","I agree to participate",NA,1,4,3,"NA","Vocal, Upbeat","Vocal, Upbeat","Not applicable","N/A","NA","To help me concentrate on task","To set me into the right mood","N/A",NA,"I do not avoid","I do not avoid","N/A",NA,"It keeps me stay alerted on task","It has neutral effect","N/A",NA,2,2,3,3,2,4,3,4,43,"Male",NA,2.875,"Extrovert",4,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,1,1,1,0,94.5
7,"28/10/2024 19:41:16","I agree to participate",NA,1,5,5,"Household Chores","Instrumental, Calming","Instrumental, Calming","Instrumental, Calming","NA","NA","To help me concentrate on task","To help me concentrate on task","It’s extremely troubling to think that listening to music necessarily serves a specific function","Music Exploration & Analysis","I do not avoid","I do not avoid","NA",NA,"It has neutral effect","It has neutral effect","Hearing fatigue","Negative Effects: Hearing Fatigue & Overstimulation",4,2,3,2,2,3,3,3,43,"Male",NA,2.75,"Extrovert",4,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,2,143
8,"28/10/2024 20:01:33","I agree to participate",NA,1,5,5,"NA","Calming","Upbeat","Vocal, Instrumental, Calming","N/A","NA","To mask other background noise","To set me into the right mood","N/A",NA,"I do not avoid","I do not avoid",NA,NA,"It keeps me stay alerted on task","It keeps me stay alerted on task",NA,NA,3,1,4,4,2,4,2,4,19,"Female",NA,3,"Extrovert",6,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,1,143
9,"28/10/2024 20:07:12","I agree to participate",NA,1,5,4,"NA","Vocal, Instrumental, Upbeat, Other","Vocal, Instrumental, Upbeat, Other","Not applicable","n/a","NA","To mask other background noise, To help me concentrate on task","To help me concentrate on task","Silence can be unsettling while working from home. I enjoy listening to music whether background or with focus. I get to hear music I would otherwise miss \ explore new music this way.","Music Exploration & Analysis","Music distracts me from the task","Music distracts me from the task","n/a",NA,"It has neutral effect","It has neutral effect","I sometime wander off to discover more music from an artist; add to the 'buy' list.","Situational Effects: Exploring Music",1,2,2,2,1,2,2,2,55,"Male",NA,1.75,"Introvert",3,1,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,143
10,"28/10/2024 20:28:06","I agree to participate",NA,1,2,3,"Household Chores","Instrumental, Calming","Vocal, Instrumental, Upbeat, Calming","Vocal, Instrumental, Upbeat, Calming",NA,"NA","To set me into the right mood","To set me into the right mood","to make boring tasks bearable","Boredom & Stimulation","Music distracts me from the task","I do not avoid",NA,NA,"It has neutral effect","It has neutral effect","it distracts me from what I'm supposed to be doing","Negative Effects: Distraction",1,1,1,1,1,1,1,1,70,"Male",NA,1,"Introvert",1,0,1,0,1,0,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,2,22
11,"28/10/2024 20:28:56","I agree to participate",NA,1,4,4,"Media Consumption","Instrumental","Instrumental","Instrumental",NA,"NA","To help me concentrate on task","To help me concentrate on task",NA,NA,"Music distracts me from the task","Music distracts me from the task","I avoid music that is too interesting since my attention might switch from the task in hand to the music.","Distraction (General)","It keeps me stay alerted on task","It keeps me stay alerted on task",NA,NA,3,2,3,3,2,2,5,4,50,"Male",NA,3,"Extrovert",3,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,94.5
12,"28/10/2024 20:31:17","I agree to participate",NA,1,4,4,"NA","Instrumental, Calming","Instrumental, Calming","Other",NA,"NA","To help me concentrate on task","To set me into the right mood",NA,NA,"I do not avoid","I do not avoid",NA,NA,"It makes me tired","It keeps me stay alerted on task",NA,NA,2,2,3,1,2,2,3,1,33,"Male",NA,2,"Introvert",5,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,2,94.5
13,"28/10/2024 20:46:24","I agree to participate",NA,1,3,4,"Exercise & Physical Activity","Instrumental","Vocal, Instrumental, Upbeat","Vocal, Instrumental, Upbeat","N/A","NA","To help me concentrate on task, To set me into the right mood","To help me concentrate on task, To set me into the right mood","Not mask background noise but to mask the depressing thoughts in my head","Emotional Regulation & Mental Health","I do not avoid","I do not avoid","I only avoid vocal music if I need to focus on words (reading/active listening)","Distraction (Lyrics/Vocals)","It keeps me stay alerted on task","It keeps me stay alerted on task","N/A",NA,1,1,2,2,1,1,1,1,27,"Female",NA,1.25,"Introvert",5,0,1,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,1,1,46.5
14,"28/10/2024 20:58:37","I agree to participate",NA,1,5,5,"Household Chores","Instrumental, Upbeat, Calming","Vocal, Instrumental","Vocal","I listen to podcasts a lot.","Podcasts/Audiobooks/Spoken Word","To mask other background noise, To help me concentrate on task, To set me into the right mood","To mask other background noise, To help me concentrate on task, To set me into the right mood","To get rid of boredom and make the task more enjoyable.","Boredom & Stimulation","I do not avoid","I do not avoid",NA,NA,"It keeps me stay alerted on task","It keeps me stay alerted on task",NA,NA,4,2,3,4,2,2,2,4,34,"Female",NA,2.875,"Extrovert",5,0,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0,2,143
15,"28/10/2024 21:15:06","I agree to participate",NA,1,3,3,"Household Chores","Instrumental, Calming","Vocal, Instrumental, Upbeat, Calming","Vocal, Instrumental, Upbeat, Calming","Nature sounds, probably would be classified as calming","Miscellaneous Genres (Viking chants, nature sounds, etc.)","To mask other background noise, To help me concentrate on task, To set me into the right mood","To set me into the right mood","To explore new music while doing these activities","Music Exploration & Analysis","I do not avoid","I do not avoid","N/a",NA,"It has neutral effect","It has neutral effect","N/a",NA,4,2,4,4,2,4,2,4,37,"Female",NA,3.25,"Extrovert",4,0,1,0,1,0,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,2,46.5
16,"28/10/2024 21:24:30","I agree to participate",NA,1,4,4,"Work or Study-Related Activities","Instrumental, Calming","Vocal, Instrumental, Upbeat, Calming, Other","Vocal, Instrumental, Upbeat, Calming, Other",NA,"NA","To mask other background noise, To help me concentrate on task, To set me into the right mood","To mask other background noise, To set me into the right mood",NA,NA,"I do not avoid","I do not avoid",NA,NA,"It has neutral effect","It has neutral effect",NA,NA,4,2,3,4,3,4,2,2,35,"Agender/Non-Gendered",NA,3,"Extrovert",5,0,1,0,1,0,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,2,94.5
17,"28/10/2024 21:27:45","I agree to participate",NA,1,5,5,"NA","Instrumental, Upbeat, Calming","Vocal, Instrumental, Upbeat, Calming","Not applicable",NA,"NA","To mask other background noise, To help me concentrate on task, To set me into the right mood","To mask other background noise, To set me into the right mood",NA,NA,"I do not avoid","I do not avoid",NA,NA,"It keeps me stay alerted on task","It keeps me stay alerted on task",NA,NA,2,2,2,4,2,2,2,3,25,"Female",NA,2.375,"Introvert",6,0,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,1,0,1,1,1,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,1,2,143
18,"28/10/2024 21:43:43","I agree to participate",NA,1,4,5,"Leisure & Relaxation","Vocal, Instrumental, Upbeat","Vocal, Instrumental, Upbeat, Calming","Instrumental, Calming",NA,"NA","To mask other background noise, To help me concentrate on task, To set me into the right mood","To mask other background noise, To help me concentrate on task, To set me into the right mood","N/A",NA,"I do not avoid","I do not avoid",NA,NA,"It has neutral effect","It keeps me stay alerted on task",NA,NA,1,1,2,4,1,1,2,3,20,"Female",NA,1.875,"Introvert",6,1,1,1,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0,1,1,1,0,1,1,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,1,1,1,94.5
19,"28/10/2024 21:52:44","I agree to participate",NA,1,4,5,"Household Chores","Vocal, Instrumental, Upbeat, Calming, Other","Vocal, Instrumental, Upbeat, Calming, Other","Vocal, Instrumental, Upbeat, Calming, Other","I listen to all types of music, sometimes depending on the activity I'm participating in. For example, if I desire a calming drive, I will listen to calming or relaxing music, especially if it's cloudy and rainy. If I'm cleaning my room, I will listen to something more upbeat.","Ambient/Lo-Fi/Environmental Sounds","To mask other background noise, To help me concentrate on task, To set me into the right mood","To mask other background noise, To help me concentrate on task, To set me into the right mood","Sometimes I play background music simply because I enjoy it and for no other reason.","Enjoyment & Pleasure","I do not avoid","I do not avoid","N/A",NA,"It keeps me stay alerted on task","It has neutral effect","This also depends on my mood and the situation. Sometimes it can help me focus, other times it can help me unwind and loosen my focus.","Situational Effects: Mood & Situation Dependent",3,2,1,1,2,2,1,1,32,"Female",NA,1.625,"Introvert",5,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,1,1,1,2,94.5
